speaker,vowel,context,word,F1,F2
ral139,e,nasal,THEN,-0.4093606760891305,0.6523208880313408
ral139,i,oral,IT,-0.8048467723003724,0.9059644886670803
ral139,e,nasal,THEN,-0.22880547624457423,0.6276754606857183
ral139,e,oral,EVERYBODY,-0.6723778068971763,1.0487941793594937
ral139,i,oral,IT,-0.3078232141075804,0.5083274573278539
ral139,i,oral,MIDDLE,-0.4669184415568192,0.3642305830678271
ral139,i,oral,IF,-1.4895788544694932,1.6525166362152583
ral139,i,oral,EXIST,-0.9963968962733941,1.0470097780091812
ral139,e,nasal,THEN,-0.08381819361077615,0.6356406145392881
ral139,i,oral,IT,-0.9923565928285966,1.686058209423309
ral139,i,nasal,IN,-0.700924868941565,1.8978071696604053
ral139,i,nasal,IN,-0.3306078761569305,1.3213162290637586
ral139,e,oral,RESIDENCE,-0.4119438209144927,-0.18699426884395864
ral139,i,nasal,IN,-1.0609092824247508,0.4205814604929164
ral139,e,oral,YES,-0.15270205562043798,0.6877761670353784
ral139,i,oral,IT,-1.0427610341645128,1.5246604003319897
ral139,i,oral,IT,-1.1841716547324248,0.9824868596174431
ral139,i,oral,IT,-0.8617421929410454,1.1039295949952403
ral139,e,oral,SEVEN,-0.22840806934836425,0.44411486960573515
ral139,e,oral,TEXTILES,-0.379753862321516,0.5198872747711833
ral139,i,oral,IT,-0.7081444275560395,1.8542574323571233
ral139,i,oral,IT,-0.8524693653628214,1.4131741072711552
ral139,i,oral,IT,-0.4010151312687292,0.8289248999340189
ral139,i,oral,UNTIL,-0.5329542208103123,-0.08642127099807832
ral139,i,oral,IT,-0.9963968962733941,1.5195916660615376
ral139,i,oral,IT,-0.7014547448031782,1.81580229021343
ral139,i,oral,IT,-0.5728273793966746,0.17596331016527977
ral139,e,nasal,THEN,-0.5681247311248608,0.5752812992982786
ral139,e,nasal,WENT,0.19694977856129797,0.359756649247478
ral139,i,oral,IT,-0.6575412827720183,0.25866643361889885
ral139,i,oral,IT,-0.7730542206036053,1.2308806997587842
ral139,i,oral,IT,-1.0564715720837434,1.2046577581759297
ral139,e,nasal,ANYWHERE,-1.1397945513223537,1.0836805188025613
ral139,i,oral,IS,-1.1564856409631568,1.1590391497418513
